,Saison,Team,Wert
509,2013,Rot-Weiß Erfurt,4.93
510,2013,Darmstadt 98,4.93
511,2013,Jahn Regensburg,4.75
512,2013,Hansa Rostock,4.55
513,2013,SV Elversberg,4.48
514,2013,W. Burghausen,4.23
515,2013,Unterhaching,3.98
516,2014,B. Dortmund II,31.2
517,2014,Stuttgart II,30.35
518,2014,Arm. Bielefeld,9.68
519,2014,FSV Mainz 05 II,8.43
520,2014,Jahn Regensburg,7.23
521,2014,Wehen Wiesbaden,7.18
522,2014,Hansa Rostock,7.1
523,2014,Rot-Weiß Erfurt,6.85
524,2014,VfL Osnabrück,6.7
525,2014,MSV Duisburg,6.5
526,2014,Chemnitzer FC,6.5
527,2014,Energie Cottbus,6.4
528,2014,Preußen Münster,6.3
529,2014,Holstein Kiel,5.53
530,2014,Hallescher FC,5.38
531,2014,Dynamo Dresden,4.68
532,2014,Stuttg. Kickers,4.45
533,2014,Unterhaching,4.25
534,2014,SC Fortuna Köln,3.85
535,2014,Sonnenhof-Gr.,3.68
536,2015,FSV Mainz 05 II,13.65
537,2015,W. Bremen II,13.58
538,2015,Wehen Wiesbaden,7.88
539,2015,Dynamo Dresden,7.75
540,2015,Stuttgart II,7.55
541,2015,Chemnitzer FC,7.38
542,2015,Holstein Kiel,7.03
543,2015,Hansa Rostock,6.98
544,2015,Erzgebirge Aue,6.6
545,2015,Preußen Münster,6.58
546,2015,Energie Cottbus,6.48
547,2015,Stuttg. Kickers,6.45
548,2015,VfR Aalen,5.68
549,2015,VfL Osnabrück,5.6
550,2015,Hallescher FC,5.53
551,2015,Rot-Weiß Erfurt,5.5
552,2015,Würzb. Kickers,4.75
553,2015,SC Fortuna Köln,4.5
554,2015,Sonnenhof-Gr.,4.45
555,2015,1.FC Magdeburg,3.6
556,2016,W. Bremen II,13.33
557,2016,FSV Mainz 05 II,10.73
558,2016,Holstein Kiel,7.78
559,2016,Wehen Wiesbaden,7.58
560,2016,SC Paderborn,7.33
